Id,String
Stage1_Name,PooPoo
Stage2_Name,PpuPpu
Stage3_Name,PoPo
Stage4_Name,PpoPpo
Stage5_Name,PpiPpi
Stage6_Name,PiPi
Stage7_Name,PpaPpa
Stage8_Name,PaPa
Stage9_Name,PuPu
Stage10_Name,PwaPwa
Stage1_Desc,This is a Planet1
Stage2_Desc,This is a Planet2
Stage3_Desc,This is a Planet3
Stage4_Desc,This is a Planet4
Stage5_Desc,This is a Planet5
Stage6_Desc,This is a Planet6
Stage7_Desc,This is a Planet7
Stage8_Desc,This is a Planet8
Stage9_Desc,This is a Planet9
Stage10_Desc,This is a Planet10
